,Links,Price,Title,Adress,Scraping date,Offer number,Surface,Number of rooms,Market type,Building type,Floor,Number of floors in building,Windows type,Heating type,Construction year,Property condition,Monthly charges,Ownership
0,https://www.otodom.pl/pl/oferta/bezposrednio-taras-100m2-2xgaraz-kom-lok-ID4dXIp,1 889 001 zł,BEZPOŚREDNIO - TARAS 100m2 !!! - 2xGARAŻ - kom.lok,"Warszawa, Żoliborz, ul. Ludwika Rydygiera",2021-11-05,62433157,"105,33 m²",4,pierwotny,apartamentowiec,1,8,n/a,miejskie,2022,do wykończenia,n/a,pełna własność
1,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-na-bielanach-41-5m2-ID4dsof,499 000 zł,"Mieszkanie dwupokojowe na Bielanach 41,5m2","Warszawa, Bielany, Wawrzyszew, dantego 7",2021-11-05,62312743,"41,50 m²",2,wtórny,blok,2,10,plastikowe,miejskie,1974,do zamieszkania,230 zł,spółdzielcze wł. z KW
2,https://www.otodom.pl/pl/oferta/okazja-ciche-ladny-widok-na-zielen-dwustronne-ID4dWuq,529 000 zł,OKAZJA -ciche - ładny widok na zieleń - dwustronne,"Warszawa, Żoliborz, ul. Izabelli",2021-11-05,62424602,47 m²,2,wtórny,blok,4,4,drewniane,miejskie,1980,n/a,n/a,spółdzielcze wł. z KW
3,https://www.otodom.pl/pl/oferta/m3-do-remontu-blisko-metra-ksiecia-janusza-ID4e5Aq,449 000 zł,M3 do remontu blisko metra Księcia Janusza,"Warszawa, Wola, Ulrychów, Tadeusza Krępowieckiego",2021-11-05,62463414,50 m²,3,wtórny,blok,4,10,n/a,miejskie,1974,do remontu,545 zł,spółdzielcze własnościowe
4,https://www.otodom.pl/pl/oferta/bulwary-praskie-mieszkanie-nr-29-bud-r2-ID4cg4I,Zapytaj o cenę,"Bulwary Praskie - mieszkanie nr 29, bud. R2","Warszawa, mazowieckie",2021-11-05,62027076,"92,26 m²",4,pierwotny,n/a,1,n/a,n/a,n/a,2023,n/a,n/a,n/a
5,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-przy-metrze-imielin-74m2-ID4e5zW,814 000 zł,"Mieszkanie Ursynów, przy metrze Imielin, 74m2","Warszawa, Ursynów, ul. Edwarda Warchałowskiego",2021-11-05,62463383,74 m²,4,wtórny,blok,2,n/a,plastikowe,miejskie,1980,do remontu,n/a,spółdzielcze własnościowe
6,https://www.otodom.pl/pl/oferta/wysoki-standard-salon-40-m2-garderoba-ID4c1A5,1 029 000 zł,** Wysoki Standard ** Salon 40 M2 ** Garderoba **,"Warszawa, Ursynów, Poloneza",2021-11-05,61971361,"73,44 m²",4,wtórny,apartamentowiec,1,3,plastikowe,miejskie,2021,do zamieszkania,520 zł,pełna własność
7,https://www.otodom.pl/pl/oferta/3pok-51m2-bokserska-mokotow-ID4e5zU,738 900 zł,"3pok. 51m2, Bokserska, Mokotów","Warszawa, Mokotów, ul. Bokserska",2021-11-05,62463382,"51,30 m²",3,wtórny,blok,7,10,plastikowe,miejskie,1970,do zamieszkania,470 zł,pełna własność
8,https://www.otodom.pl/pl/oferta/mieszkanie-53m2-na-mokotowie-garderoba-balkon-ID4d6Eg,680 000 zł,Mieszkanie 53m2 na Mokotowie / Garderoba / Balkon,"Warszawa, Mokotów",2021-11-05,62229168,"53,51 m²",2,wtórny,apartamentowiec,2,3,plastikowe,miejskie,2012,do wykończenia,425 zł,pełna własność
9,https://www.otodom.pl/pl/oferta/zamieszkaj-na-osiedlu-natura-gotowe-ID4dxkn,459 900 zł,Zamieszkaj na Osiedlu Natura - gotowe!!!,"Warszawa, Białołęka, Kąty Grodziskie",2021-11-05,62331723,"56,21 m²",3,pierwotny,n/a,2,2,plastikowe,n/a,2021,n/a,n/a,n/a
